Билд,01.01,,Требования
Окружение,Mac OS 10.11.6,,
Дата тестирования,28.01.2022,,
Тестировщик,Матросов А.,,
Тип теста,Проверка,Результат,
Регистрация,,,
Позитивные,,,
,Ввод существующего номера телефона,Пройден,Т1. Мобильный номер телефона для РФ 11 цифр
,Ввод существующего эл.почты и пароля (почта и пароль соотвтетствует требованиям),Пройден,"Т2. Пароль:6–20 символов
Содержит цифры, буквы или знаки Эл.почта: соответствует принятым стандартам"
,"Аутентификация через ""Vk""",Пройден,
,"Аутентификация через ""Одноклассники""",Пройден,
,"Аутентификация через ""Facebook""",Пройден,
,"Аутентификация через ""Twitter""",Пройден,
,"Ввод кода, который пришел через смс на телефон",Пройден,
,"Ввод кода, который пришел на эл.почту",Пройден,
,Через социальные сети,Пройден,
Негативные,,,
,Пустое поле ввода номера телефона,Не пройден,
,Ввод значений меньше номера телефона (РФ - < 11 цифр),Не пройден,
,Ввод значений больше номера телефона (РФ - >11 цифр),Не пройден,
,Ввод спецсимволов и букв в поле моб.телефон,Невозможно выполнить,
,Ввод номера телефона с пробелом,Невозможно выполнить,
,Ввод невалидной эл. почты (см. Т2),Невозможно выполнить,
,Ввод невалидной эл. почты (см. Т2) и валидного пароля (см. Т2),Невозможно выполнить,
Нефункциональное тестирование,,,
,Переключение языков отображения страницы,Пройден,
,Ввод валидного номера телефона (см. Т1) и последующее обновление веб-страницы,Не пройден,
Логин в систему,,,
Позитивные,,,
,Вход с помощью существующего аккаунта (см. Т3),Пройден,Т3. существующего аккаунт: авторизованный в системе аккаунт
,Вход с помощью моб. номера телефона,Пройден,
,Вход с помощью соцсетей,Пройден,
,"Клик по кнопке ""Забыли пароль?""",Пройден,
,Восстановление пароля с валидной эл. почтой (см. Т3),Пройден,
,Предложение воспользоваться сохраненным валидным логином и паролем для этого веб-приложения,Пройден,
,Восстановление пароля с подтверждением по эл. почте,Пройден,
Негативные,,,
,Вход с несуществующим аккаунтом (см. Т4),Не пройден,Т4. Несуществующий аккаунт: Аккаунт в системе не зарегестрирован
,Вход с пустыми данными,Невозможно выполнить,
,Вход с существующей эл.почтой и невалидным паролем (см. Т2),Невозможно выполнить,
,Выход из аккаунта после регистрации,Пройден,
,Вход с помощью существующим номера телефона (см. Т3) и несуществующим паролем (см. Т4),Не пройден,
Нефункциональные,,,
,Переключение языков отображения страницы,Пройден,
,"Вход в систему, используя кросс-браузерное тестирование (Google Chrome, Safari, Yandex.Browser)",Пройден,
,Вход в систему и одновременная потеря интернет-соединения,Не пройден,
Поиск товара,,,
Позитивные,,,
,Использование поисковой строки на главной странице,Пройден,
,Регистрозависимость поиска,Пройден,
,Ввод на латинской раскладке,Пройден,
,Поиск по первым двум буквам введеным в поисковую строку,Пройден,
,Поиск по введенным раннее словам,Пройден,
,Поиск товара по категориям,Пройден,
Негативные,,,
,Поисковая строка пустая,Не пройден,
,Ввод спецсимволов,Пройден,
,"Ввод ""Эмоджи""",Не пройден,
,Опечатки в поисковом слове,Не пройден,
,Верхняя граница длины поиска,Невозможно выполнить,
,Верхняя граница длины поиска,Невозможно выполнить,
Нефункциональные,,,
,Переключение языков отображения страницы,Пройден,
,"Кросс-браузерный поиск (Google Chrome, Safari, Yandex.Browser)",Пройден,
Навигация по категориям,,,
Позитивные,,,
,"Вкладка ""Навигация по категориям"" кликабельна",Пройден,
,"Возможность поиска из подборки ""Предложенные категории""",Пройден,
,Из общих категорий можно посредством клика перейти в подкатегорию,Пройден,
,"Конкретизация поиска в графе ""Подкатегории""",Пройден,
Негативные,,,
,"Многократное нажатие кнопки ""Навигация по категориям""",Пройден,
Корзина,,,
Позитивные,,,
,Добавление товара в корзину,Пройден,
,После добавления товара в корзину отображается визуальное подтверждение в соответсвующей вкладке,Пройден,
,"При увеличении/уменьшении кол-ва товара в корзине, сумма заказа пересчитывается мгновенно",Пройден,
,При удалении товара из корзины система уведомляет о совершенном действии,Пройден,
,"В корзине присуствует кнопка ""Купить""",Пройден,
,Корректный рассчет суммы заказа,Пройден,
,"Возможность частичного добавление необходимых товаров, если передумал покупать все",Пройден,
,Перезагрузка веб-старницы,Пройден,
,"При удалении всех товаров выводится сообщение, что корзина пуста",Пройден,
Негативные,,,
,Выбор отрицательного кол-ва товара,Невозможно выполнить,
,Добавление спецсимволов в кол-во товара,Невозможно выполнить,
,Выбор сверх-больших чисел кол-ва товара,Не пройден,
Нефункциональные,,,
,"При скролле страницы кнопка ""Купить"" перемещается синхронно",Пройден,
Страница с оформлением заказа,,,
Позитивные,,,
,Все формы функционируют корректно,Пройден,
,Возможность скорректировать кол-во заказанных товаров,Пройден,
,Добавление адреса доставки,Пройден,
,Добавления способа оплаты,Пройден,
,Обновление страницы после ввода данных,Пройден,
,"Ввод в поле ""ФИО"" на латинице",Не пройден,
Негативные,,,
,Ввод отрицательного кол-ва товара,Не пройден,
,"Ввод цифр в поле ""Адрес доставки""",Не пройден,
,"Ввод в поле ""ФИО"" цифр и спецсимволов",Не пройден,
Нефункциональные,,,
,Закрытие страницы и повторный вход в козину,Пройден,
Редактирование личного профиля,,,
Позитивные,,,
,Изменение пароля,Пройден,
,Загрузка аватарки,Пройден,
,Удаление аккаунта,Пройден,
Негативные,,,
,"Ввод спецсимволов и цифр в поле ""Адрес""",Не пройдено,
,Добавление фото не отвечающее требованиям,Не пройдено,
Нефункциональные,,,
,"Кросс-браузерный поиск (Google Chrome, Safari, Yandex.Browser)",Пройден,
